summary,temperature,humidity,visibility,wind_speed,cloud_cover,precip_intensity
Cloudy,54.51,0.62,9.09,4.5,0.41,0
Cloudy,55.28,0.63,9.13,4.86,0.45,0
Cloudy,55.2,0.66,8.97,4.76,0.72,0
Cloudy,54.2,0.7,8.95,4.1,0.79,0
Cloudy,52.72,0.71,9.38,3.83,0.93,0
Cloudy,51.24,0.69,9.92,4.46,0.93,0
Cloudy,50.14,0.7,9.83,4.84,0.73,0
Cloudy,49.52,0.69,9.94,4.84,0.88,0
Overcast,48.89,0.71,9.84,4.51,0.97,0
Overcast,48.64,0.73,9.68,4.62,0.97,0
Cloudy,47.96,0.84,8.09,3.5,0.89,0.0017
Cloudy,47.53,0.87,7.7,3.35,0.76,0.0022
Cloudy,47.01,0.89,5.94,2.92,0.86,0.0027
Cloudy,46.87,0.9,6.41,2.91,0.84,0.0031
Cloudy,46.57,0.9,5.75,2.73,0.88,0.0036
Cloudy,46.04,0.9,5.71,2.14,0.86,0.0039
Overcast,46.06,0.9,5.23,1.78,1,0.0038
Cloudy,46.13,0.88,6.73,2.56,0.88,0.0026
Cloudy,46.35,0.88,7.46,2.47,0.72,0.001
Cloudy,47.15,0.85,6.57,2.94,0.53,0
Cloudy,48.39,0.82,8.43,3,0.58,0.0011
Cloudy,50.01,0.78,9.87,3.62,0.69,0.0028
Cloudy,51.39,0.76,9.78,3.08,0.75,0.0039
Cloudy,52.32,0.75,9.66,3.9,0.7,0.0039
Cloudy,53.05,0.75,9.56,2.87,0.57,0.0035
Cloudy,53.7,0.75,9.52,3.16,0.52,0.0038
Drizzle,53.82,0.75,9.43,3.41,0.6,0.0059
Drizzle,53.42,0.82,7.17,2.15,0.67,0.0233
Rain,52.75,0.9,6.36,2.41,0.69,0.0571
Rain,52.42,0.97,3.52,1.77,1,0.0697
Drizzle,52.46,0.98,4.28,1.83,1,0.0441
Drizzle,52.59,0.98,4.44,0.64,1,0.0202
Rain,52.29,0.97,4.44,1.6,1,0.0597
Drizzle,52.21,0.97,3.8,1.61,1,0.025
Drizzle,52.39,0.95,6.59,1.02,0.88,0.0056
Cloudy,51.47,0.95,6.65,1.87,0.82,0.004
Cloudy,51.36,0.96,6.74,1.79,0.76,0.0023
Cloudy,51.22,0.95,6.38,1.35,0.71,0
Cloudy,51.08,0.96,4.99,1.35,0.72,0
Cloudy,50.65,0.96,2.71,1.56,0.75,0
Foggy,50.08,0.96,1.81,2.32,0.81,0
Cloudy,49.34,0.96,2.44,1.36,0.75,0
Cloudy,49.84,0.95,4.46,2.78,0.72,0
Cloudy,51.06,0.94,4.93,3.14,0.76,0
Cloudy,53.57,0.91,8.19,2.92,0.74,0
Cloudy,56.43,0.88,10,2.98,0.57,0
Clear,60.28,0.8,10,1.86,0.18,0
Clear,65.13,0.67,10,1.92,0.16,0
Clear,68.19,0.53,10,2.19,0.12,0
Clear,70.23,0.48,10,2.94,0.09,0
Clear,69.54,0.49,10,2.6,0.08,0
Clear,67.18,0.58,10,3.99,0.1,0
Clear,62.73,0.69,9.88,3.75,0.1,0
Clear,59.93,0.79,9.87,3.54,0,0
Clear,56.88,0.86,9.86,2.93,0,0
Clear,55.24,0.89,9.79,2.66,0,0
Clear,54.02,0.91,9.81,2.04,0,0
Clear,52.74,0.92,9.81,2.06,0.01,0
Clear,50.62,0.89,9.76,2.71,0.17,0
Clear,49.06,0.91,9.7,2.29,0.15,0
Clear,47.83,0.92,9.05,3.21,0.13,0
Clear,46.86,0.93,8.71,2.22,0.08,0
Clear,45.89,0.93,6.9,1.21,0.08,0
Clear,46.02,0.93,6.06,2.18,0.13,0
Clear,45.42,0.94,5.45,2.74,0.21,0
Cloudy,45.25,0.94,5.72,2.52,0.29,0
Clear,46.18,0.94,4.67,1.07,0.2,0
Clear,48.91,0.93,4.91,1.04,0.2,0
Cloudy,51.99,0.91,4.93,1.02,0.83,0
Cloudy,55.57,0.89,6.13,2.1,0.87,0
Cloudy,60.05,0.83,7.91,4.03,0.4,0
Cloudy,61.63,0.8,9.27,3.96,0.4,0
Cloudy,62.8,0.76,9.88,3.02,0.37,0
Clear,63.67,0.74,9.88,2.97,0.2,0
Cloudy,63.98,0.74,9.87,2.35,0.26,0.0016
Cloudy,63.02,0.76,9.85,1.71,0.28,0.0015
Clear,60.52,0.82,9.79,0.48,0.24,0.0026
Clear,58.16,0.9,9.73,0.26,0.16,0.0021
Clear,55.61,0.92,9.7,0.82,0.11,0.0012
Cloudy,55.71,0.93,9.28,2.13,0.36,0
Cloudy,55.53,0.93,7.99,2.62,0.5,0
Cloudy,55.39,0.91,8.99,5.08,0.35,0
Cloudy,54.77,0.76,10,5.57,0.65,0
Cloudy,54.17,0.69,10,4.35,0.4,0
Clear,52.12,0.69,10,4.93,0.2,0
Clear,50.85,0.65,10,4.69,0.03,0
Clear,49.08,0.63,10,4.8,0.02,0
Clear,47.68,0.64,10,5.45,0.02,0
Clear,46.28,0.66,10,5.81,0.03,0
Clear,44.94,0.73,10,7.16,0.09,0
Clear,44.18,0.79,10,8.08,0.17,0
Cloudy,45.02,0.79,10,9.01,0.48,0
Cloudy,47.18,0.72,10,9.7,0.25,0
Clear,49.56,0.65,10,10.04,0.19,0
Cloudy,50.73,0.6,10,10.12,0.26,0
Cloudy,51.4,0.57,10,9.99,0.31,0
Cloudy,50.78,0.56,10,10.29,0.36,0
Clear,49.14,0.58,10,10.53,0.24,0
Cloudy,47.24,0.6,10,9.38,0.26,0
Cloudy,45.22,0.61,10,10.16,0.42,0
Cloudy,43.3,0.63,10,9.6,0.44,0
Cloudy,42.62,0.65,10,9.41,0.61,0
Cloudy,41.7,0.65,10,8.97,0.6,0
Cloudy,40.98,0.67,10,7.61,0.59,0
Cloudy,39.94,0.68,10,7.2,0.27,0
Clear,38.78,0.7,9.93,5.96,0.18,0
Cloudy,37.53,0.74,9.84,5.99,0.26,0
Cloudy,36.74,0.76,9.78,6.21,0.26,0
Cloudy,35.7,0.77,9.73,5.58,0.25,0
Clear,34.87,0.79,9.68,5.57,0.24,0
Clear,33.93,0.81,9.61,5.51,0.24,0
Cloudy,33.09,0.82,9.51,5.45,0.25,0
Cloudy,32.81,0.82,9.48,5.51,0.25,0
Cloudy,32.85,0.81,9.45,5.15,0.25,0
Cloudy,33.45,0.78,9.47,4.69,0.25,0
Cloudy,36.4,0.71,9.69,6.72,0.25,0
Cloudy,39.31,0.64,10,6.98,0.25,0
Cloudy,41.66,0.59,10,6,0.25,0
Clear,44.51,0.53,10,4.82,0.22,0
Clear,46.3,0.5,10,4.42,0.22,0
Clear,47.64,0.48,10,4.35,0.22,0
Cloudy,48.42,0.46,10,3.77,0.28,0
Cloudy,48.35,0.48,10,3.13,0.4,0
Cloudy,46.81,0.51,10,3.71,0.55,0
Cloudy,44.17,0.58,10,3.79,0.69,0
Cloudy,42.14,0.61,10,3.77,0.67,0
Cloudy,41.25,0.64,10,2.91,0.63,0
Cloudy,40.2,0.67,10,2.52,0.69,0
Cloudy,39.36,0.67,10,3.24,0.61,0
Cloudy,38.54,0.69,10,3.45,0.66,0
Cloudy,38.75,0.72,9.84,2.61,0.61,0
Cloudy,36.82,0.74,9.77,2.14,0.38,0
Cloudy,35.56,0.76,9.7,1.61,0.3,0
Clear,34.32,0.78,9.63,1.67,0.23,0
Clear,34.25,0.8,9.56,1.99,0.22,0
Clear,33.86,0.8,9.49,1.2,0.2,0
Clear,33.07,0.8,9.48,1.18,0.2,0
Clear,34.02,0.78,9.49,0.85,0.22,0
Clear,35.4,0.76,8.79,0.76,0.24,0
Clear,38.65,0.68,9.81,1.44,0.24,0
Clear,42.28,0.6,10,1.21,0.21,0
Cloudy,45.77,0.53,10,1.19,0.33,0
Cloudy,48.99,0.48,10,1.23,0.29,0
Cloudy,51.35,0.45,10,1.51,0.27,0
Cloudy,52.74,0.42,10,1.43,0.27,0
Cloudy,54.29,0.41,10,1.55,0.27,0
Cloudy,54.25,0.42,10,1.17,0.31,0
Cloudy,53.32,0.45,10,1.42,0.29,0
Clear,50.36,0.52,10,1.33,0.21,0
Clear,46.73,0.61,10,1.82,0.23,0
Clear,44.19,0.62,10,1.26,0.21,0
Clear,42.17,0.67,10,0.47,0.02,0
Clear,40.42,0.73,9.7,0.34,0,0
Clear,38.6,0.76,9.6,0.72,0,0
Clear,38.27,0.81,10,1.1,0,0
Clear,37.53,0.83,10,1.28,0,0
Clear,36.57,0.86,10,1.57,0,0
Clear,35.76,0.88,10,1.59,0,0
Clear,36.08,0.89,10,2.45,0,0
Clear,35.86,0.9,10,2.72,0.01,0
Clear,36,0.91,10,2.81,0.01,0
Clear,36.9,0.89,10,2.45,0.01,0
Clear,38.9,0.87,9.86,3.64,0,0
Clear,43.31,0.82,10,4.22,0,0
Clear,49.14,0.72,10,2.73,0.01,0
Clear,54.87,0.6,10,3.57,0.01,0
Clear,58.98,0.52,10,3.09,0.01,0
Clear,61.83,0.45,10,1.72,0.01,0
Clear,63.2,0.39,10,0.98,0.01,0
Clear,63.53,0.36,10,0.91,0.01,0
Clear,63.32,0.35,10,0.69,0.01,0
Clear,62.08,0.37,10,0.92,0.01,0
Clear,57.14,0.44,10,2.46,0.01,0
Clear,53.09,0.51,10,1.72,0,0
Clear,50.74,0.57,10,1.97,0,0
Clear,47.18,0.63,9.99,1.95,0,0
Clear,45.53,0.67,9.82,1.28,0,0
Clear,44.05,0.73,9.77,1.12,0,0
Clear,44.6,0.77,9.72,1.64,0.04,0
Clear,43.41,0.8,9.52,1.97,0.11,0
Clear,43.07,0.82,9.42,2.69,0.11,0
Clear,42.58,0.85,9.29,2.47,0.14,0
Clear,40.81,0.87,9.21,1.93,0.17,0
Clear,39.78,0.88,9.14,1.95,0.21,0
Cloudy,38.71,0.89,9.08,1.3,0.25,0
Cloudy,39.13,0.89,9.09,1.45,0.25,0
Cloudy,40.39,0.88,8.27,1.61,0.25,0
Clear,46.26,0.84,8.76,1.7,0.24,0
Cloudy,51.95,0.73,9.89,2.88,0.28,0
Cloudy,56.91,0.62,10,4.67,0.34,0
Cloudy,60.94,0.56,10,5.18,0.36,0
Cloudy,62.95,0.52,10,5.78,0.32,0
Clear,63.93,0.49,10,6.06,0.24,0
Clear,64.87,0.48,10,6.19,0.18,0
Clear,64.46,0.48,10,6.05,0.2,0
Clear,62.89,0.49,10,4.95,0.14,0
Clear,59.65,0.53,10,3.73,0.09,0
Clear,56.64,0.56,10,2.75,0.03,0
Clear,54.02,0.61,10,2.21,0.01,0
Clear,51.44,0.67,9.97,1.77,0.02,0
Clear,48.67,0.72,9.93,2.67,0.02,0
Clear,47.86,0.77,9.84,1.76,0.02,0
Clear,47.32,0.83,10,2.23,0.09,0
Clear,47.29,0.85,10,2.56,0.17,0
Cloudy,48.95,0.85,10,2.27,0.54,0
Clear,48.17,0.86,10,1.56,0.24,0
Cloudy,47.82,0.88,10,1.49,0.51,0
Cloudy,47.84,0.89,10,1.18,0.31,0
Cloudy,47.38,0.9,10,0.6,0.53,0
Clear,47.16,0.89,10,0.79,0.24,0
Clear,47.58,0.87,10,0.7,0.19,0
Clear,50.41,0.84,10,1.02,0.19,0
Cloudy,55.84,0.77,10,2,0.42,0
Cloudy,59.95,0.72,10,3.6,0.42,0
Cloudy,63.3,0.69,10,3.96,0.48,0
Cloudy,65.75,0.65,10,4.53,0.42,0
Cloudy,66.91,0.62,10,5.59,0.44,0
Cloudy,67.5,0.61,10,5.91,0.38,0
Cloudy,67.94,0.59,10,4.97,0.31,0
Cloudy,66.5,0.69,9.99,5.53,0.26,0.002
Clear,63.68,0.7,9.83,4.47,0.2,0
Clear,61.01,0.79,9.67,4.01,0.14,0.0008
Clear,59.39,0.84,9.57,4.69,0.06,0
Clear,57.46,0.88,9.44,4.43,0.03,0
Clear,56,0.91,9.41,3.87,0.02,0
Clear,54.83,0.92,9.36,2.51,0.04,0
Clear,54.04,0.87,9.46,3.76,0.08,0
Clear,53.24,0.87,9.5,3.65,0.09,0
Clear,52.27,0.87,9.46,3.97,0.15,0
Clear,51.49,0.86,9.44,3.9,0.1,0
Clear,50.52,0.84,9.44,3.55,0.18,0
Clear,49.68,0.8,9.62,4.31,0.24,0
Cloudy,49.2,0.76,9.63,5.29,0.25,0
Cloudy,48.87,0.71,9.91,5.63,0.25,0
Clear,49.03,0.66,9.96,5.62,0.24,0
Clear,52.36,0.57,10,6.99,0.24,0
Clear,55.75,0.49,10,7.25,0.24,0
Clear,59.82,0.43,10,6.13,0.19,0
Clear,63.11,0.38,10,5.08,0.11,0
Clear,65.13,0.36,10,4.52,0.16,0
Clear,66.7,0.33,10,3.36,0.2,0
Clear,66.91,0.32,10,1.74,0.2,0
Clear,66.16,0.33,10,1.19,0.24,0
Cloudy,63.81,0.35,10,0.68,0.26,0
Clear,59.8,0.4,10,2.04,0.18,0
Clear,56.65,0.47,10,1.96,0,0
Clear,53.6,0.51,10,1.44,0,0
Clear,51.15,0.54,10,2.11,0,0
Clear,48.88,0.59,10,2.19,0.03,0
Clear,46.88,0.63,9.96,2.01,0.05,0
Clear,45.75,0.69,10,1.15,0.16,0
Clear,44.52,0.7,10,1.56,0.21,0
Cloudy,43.89,0.72,10,1.49,0.25,0
Cloudy,43.73,0.73,10,1.27,0.29,0
Cloudy,43.4,0.74,10,1.05,0.38,0
Cloudy,43.09,0.75,10,1.79,0.51,0
Cloudy,43.67,0.75,10,1.37,0.56,0
Cloudy,44.86,0.74,10,2.21,0.55,0
Cloudy,46.27,0.71,10,2.77,0.55,0
Cloudy,48.44,0.69,10,1.96,0.66,0
Cloudy,49.29,0.7,10,1.6,0.53,0.0011
Cloudy,51.98,0.7,10,1.76,0.66,0.0013
Cloudy,52.27,0.64,10,3.08,0.63,0.0016
Cloudy,54.27,0.6,10,1.9,0.58,0.0014
Cloudy,57.55,0.56,10,4.88,0.32,0.0009
Clear,59.23,0.53,10,8.61,0.16,0
Clear,56.71,0.52,10,10.81,0.18,0
Clear,53.45,0.52,10,11.04,0.24,0
Cloudy,49.68,0.58,10,10.72,0.3,0
Cloudy,46.96,0.62,10,11.7,0.33,0
Clear,45.07,0.67,9.95,10.31,0.11,0
Cloudy,44.85,0.7,9.71,9.88,0.66,0
Cloudy,43.58,0.72,9.64,7.95,0.41,0
Cloudy,42.41,0.75,9.49,5.78,0.77,0
Cloudy,41.76,0.77,9.9,4.69,0.61,0
Cloudy,40.78,0.78,9.9,4.01,0.43,0
Clear,39.26,0.81,9.87,3.71,0.01,0
Clear,37.75,0.84,9.82,2.82,0.01,0
Clear,35.81,0.87,9.78,3.42,0.01,0
Clear,34.84,0.89,9.75,1.75,0.01,0
Clear,33.87,0.88,9.71,1.31,0.01,0
Clear,32.94,0.88,9.72,2.51,0.02,0
Clear,34.27,0.87,9.69,2.12,0.01,0
Clear,38.37,0.84,9.75,1.24,0.01,0
Clear,43.24,0.71,9.92,0.52,0.02,0
Clear,47.46,0.57,10,1.66,0.03,0
Clear,50.52,0.5,10,2.07,0.04,0
Clear,52.73,0.47,10,2.8,0.07,0
Clear,54.01,0.45,10,3.6,0.09,0
Clear,55.36,0.43,10,4.36,0.11,0
Clear,55.49,0.44,10,4.82,0.1,0
Clear,54.4,0.45,10,4.39,0.07,0
Clear,52.14,0.51,10,2.97,0.01,0
Clear,49.39,0.57,10,2.84,0.03,0
Clear,47.32,0.61,10,2.31,0.03,0
Clear,45.44,0.67,9.98,2.35,0.04,0
Clear,43.48,0.72,9.89,1.93,0.03,0
Clear,42.19,0.74,9.89,1.73,0.02,0
Clear,40.71,0.79,10,1.38,0.12,0
Clear,38.96,0.82,10,0.82,0.08,0
Clear,37.16,0.86,10,0.23,0.06,0
Clear,36.69,0.88,10,0.51,0.04,0
Clear,36.09,0.89,10,0.88,0.06,0
Clear,35.29,0.9,9.83,1.8,0.09,0
Clear,36.26,0.91,9.46,1.42,0.12,0
Clear,36.91,0.9,9.43,3.15,0.12,0
Clear,38.04,0.9,9.48,2.15,0.11,0
Clear,42.7,0.85,9.83,2.13,0.1,0
Clear,47.06,0.75,10,2.86,0.1,0
Clear,49.01,0.69,10,2.84,0.1,0
Clear,51.35,0.63,10,1.46,0.09,0
Clear,53.99,0.59,10,0.97,0.1,0
Clear,55.81,0.55,10,0.33,0.09,0
Clear,57.24,0.53,10,1.55,0.09,0
Clear,58.23,0.52,10,1.68,0.12,0
Clear,56.55,0.54,10,2.38,0.13,0
Clear,53.21,0.61,10,3.16,0.08,0
Clear,50.08,0.67,9.98,2.98,0,0
Clear,47.4,0.72,9.95,2.62,0,0
Clear,45.49,0.76,9.85,2.48,0,0
Clear,44.15,0.79,9.82,2.84,0,0
Clear,43.2,0.81,9.8,2.45,0,0
Clear,43.78,0.83,9.76,2.24,0.16,0
Clear,44.85,0.87,9.69,1.85,0.2,0
Cloudy,44.02,0.89,9.46,2.47,0.26,0
Cloudy,43.22,0.91,7.81,2.24,0.44,0
Clear,42.98,0.92,5.83,1.96,0.23,0
Cloudy,42.41,0.93,4.44,1.76,0.74,0
Cloudy,44.38,0.92,5.14,2.09,0.78,0
Overcast,44.64,0.91,5.08,2.03,0.94,0
Overcast,45.37,0.92,3.88,2.02,0.94,0
Cloudy,48.1,0.92,5.24,2.53,0.61,0
Cloudy,53.15,0.86,9.7,4.09,0.81,0
Overcast,58.65,0.76,9.82,6.03,0.95,0
Cloudy,60.98,0.71,10,6.73,0.91,0
Cloudy,64.05,0.65,10,7.11,0.52,0
Cloudy,66.08,0.6,10,7.63,0.52,0
Cloudy,67.25,0.58,10,8.36,0.5,0
Cloudy,66.63,0.58,10,6.86,0.65,0
Cloudy,66.14,0.57,10,5.53,0.34,0
Clear,63.74,0.61,10,3.62,0.18,0
Clear,62.29,0.67,10,1.9,0.21,0
Cloudy,59.96,0.72,9.92,2.84,0.91,0
Overcast,58.16,0.76,9.88,1.68,0.94,0
Cloudy,57.57,0.78,9.88,2.28,0.67,0
Clear,55.98,0.83,9.84,1.47,0.13,0
Clear,53.41,0.89,9.07,2.13,0.2,0
Cloudy,51.66,0.9,8.85,3.01,0.33,0
Cloudy,51.36,0.81,8.81,4.05,0.87,0.0009
Cloudy,49.99,0.75,9.36,4.78,0.89,0.0012
Cloudy,48.58,0.71,9.4,4.55,0.92,0.0014
Cloudy,47.64,0.69,9.42,5.17,0.93,0.002
Cloudy,46.01,0.69,9.52,4.94,0.85,0.0009
Cloudy,45.41,0.69,9.51,4.48,0.89,0
Cloudy,44.79,0.69,9.54,4.67,0.77,0
Cloudy,45.07,0.67,9.72,4.33,0.76,0
Cloudy,46.67,0.64,9.98,4.34,0.78,0
Cloudy,49.45,0.6,10,3.73,0.91,0
Cloudy,51.61,0.57,9.16,2.58,0.86,0
Cloudy,53.68,0.56,9.68,1.61,0.79,0
Cloudy,54.36,0.57,8.71,1.47,0.34,0
Cloudy,55.94,0.58,9.79,1.83,0.74,0
Cloudy,55.55,0.59,9.78,2.31,0.79,0
Cloudy,55.21,0.63,9.97,2.26,0.8,0
Cloudy,54.45,0.68,9.95,2.11,0.9,0.001
Overcast,54.25,0.71,9.91,1.68,0.98,0
Overcast,54.36,0.75,9.88,2,0.99,0.003
Overcast,53.91,0.77,9.86,2.68,1,0
Overcast,53.72,0.77,9.82,3.18,1,0
Overcast,53.25,0.81,9.81,2.5,1,0
Cloudy,52.54,0.86,9.35,0.54,0.89,0.0014
Cloudy,51.73,0.92,7.73,0.98,0.78,0.0014
Cloudy,51.54,0.94,5.9,0.91,0.44,0.0013
Cloudy,51.14,0.95,5.74,0.98,0.76,0.0013
Cloudy,51.27,0.96,5.17,0.96,0.8,0.0016
Cloudy,51.45,0.97,5.02,1.32,0.85,0.002
Cloudy,52.48,0.97,5.28,1.66,0.88,0.0022
Cloudy,52.86,0.97,5.75,2.51,0.86,0.0021
Cloudy,54.56,0.96,7.41,3.37,0.31,0.0018
Cloudy,56.78,0.95,8.44,4.53,0.42,0.0015
Cloudy,59.24,0.87,10,7.09,0.64,0.0011
Cloudy,61.03,0.72,10,10.21,0.38,0
Clear,60.77,0.61,10,12.32,0.14,0
Cloudy,60.29,0.6,10,12.9,0.29,0
Clear,59.85,0.6,10,12.23,0.17,0
Clear,58.63,0.59,10,13.2,0.11,0
Clear,57.11,0.56,10,11.38,0,0
Clear,57.63,0.47,10,10.34,0.01,0
Clear,54.52,0.42,10,9.47,0,0
Clear,51.42,0.49,10,7.99,0,0
Clear,48.71,0.57,10,5.15,0,0
Clear,45.69,0.66,10,5.17,0,0
Clear,44.97,0.67,10,6.43,0,0
Clear,44.01,0.65,10,7.55,0,0
Clear,42.61,0.66,10,5.45,0,0
Clear,41.74,0.66,10,6.17,0,0
Clear,41.27,0.67,10,6.94,0,0
Clear,40.2,0.69,10,6.76,0,0
Clear,39.29,0.7,10,7.78,0,0
Clear,39.04,0.71,10,7.25,0,0
Clear,38.24,0.72,10,7.27,0,0
Clear,37.64,0.73,10,6.28,0,0
Clear,37.75,0.73,10,7.35,0,0
Clear,39.09,0.69,10,8.3,0.01,0
Clear,41.95,0.65,10,7.8,0.01,0
Clear,45.23,0.59,10,7.97,0.01,0
Clear,47.66,0.55,10,7.08,0.01,0
Clear,49.6,0.51,10,7.04,0.01,0
Clear,51.21,0.49,10,6.8,0.01,0
Clear,52.99,0.47,10,6.54,0.01,0
Clear,53.08,0.47,10,5.5,0.01,0
Clear,51.77,0.47,10,5.83,0.01,0
Clear,48.96,0.51,10,4.1,0.01,0
Clear,46.51,0.56,10,3.65,0.01,0
Clear,44.37,0.6,10,3.73,0,0
Clear,42.64,0.64,10,3.17,0,0
Clear,40.48,0.68,9.89,2.71,0,0
Clear,39.39,0.71,9.89,2.18,0,0
Clear,39.34,0.73,10,3.34,0,0
Clear,36.49,0.76,10,3.73,0,0
Clear,35.97,0.78,10,2,0,0
Clear,34.46,0.81,10,1.75,0,0
Clear,33.32,0.84,10,1.88,0,0
